職稱,工作經歷,學歷要求,擅長工具,工作技能
全端工程師,3年以上,大學以上,"HTML、JavaScript、Node.js、AngularJS",軟體工程系統開發、軟體程式設計
軟體工程師,不拘,專科以上,"Linux、Git、C#、Python、PostgreSQL",軟體工程系統開發、軟體整合測試、軟體程式設計
後端工程師,2年以上,大學以上,"Linux、C++、Java、C、PostgreSQL、Git",軟體程式設計、軟體工程系統開發、系統整合分析
軟體工程師,不拘,大學以上,不拘,不拘
資深軟體工程師,5年以上,大學,"Github、HTML、JavaScript、CSS、ReactJS",軟體程式設計
全端工程師,3年以上,大學、碩士,"MySQL、Oracle、ReactNative",軟體程式設計、網路程式設計
軟體工程師,1年以上,大學、碩士,"Github、C#、MS SQL",不拘
資深全端工程師,不拘,大學、碩士,"Github、Git、AJAX、C#、Java、MS SQL、MySQL、Oracle、PostgreSQL、HTML、JavaScript、jQuery、CSS、ReactJS、AngularJS、VueJS",不拘
前端工程師,不拘,大學、碩士,"HTML、JavaScript、CSS、ReactJS",不拘
全端工程師,3年以上,大學以上,"HTML、JavaScript、Node.js、AngularJS",軟體工程系統開發、軟體程式設計
行動應用開發工程師,不拘,大學以上,"Git、C、SWIFT、Kotlin、IoT、MySQL",系統整合分析、軟體工程系統開發、軟體程式設計
全端工程師,3年以上,專科、大學,"UML、ASP.NET、C#、MS SQL、HTML、jQuery、CSS",不拘
軟體工程師,不拘,大學以上,"C、C#、C++、Visual C#、LabVIEW",系統架構規劃、軟體工程系統開發、韌體整合測試
全端工程師,不拘,不拘,"AJAX、ASP.NET、C#、Visual Studio、JavaScript、jQuery、CSS",系統整合分析、軟體程式設計、資料庫程式設計
資深軟體工程師,6年以上,大學以上,不拘,軟體工程系統開發、軟體程式設計
軟體工程師,不拘,大學以上,不拘,不拘
軟體工程師,2年以上,碩士以上,"C#、C++",軟體程式設計
區塊鏈工程師,不拘,大學以上,"Github、C#、C++、Python、AWS、JavaScript、jQuery",系統架構規劃、軟體程式設計、網路程式設計
AI工程師,3年以上,專科以上,"ASP.NET、C#、jQuery",系統架構規劃、系統維護操作、AI
系統分析師,不拘,專科以上,"Excel、Outlook、PowerPoint、Word、Power BI",不拘
自動化工程師,不拘,大學以上,"C、C#、C++、Visual Studio",系統架構規劃、軟體工程系統開發、自動化系統設計整合
行動應用開發工程師,1年以上,大學以上,"Android、Java、Kotlin、ANSI SQL、MS SQL、PL/SQL、ReactJS",系統架構規劃、系統整合分析、軟體程式設計
軟體工程師,2年以上,專科以上,"Windows 10、C、C#、C++、Visual Studio",軟體工程系統開發、軟體程式設計
全端工程師,2年以上,大學、碩士,"Git、HTML、JavaScript、CSS、Angular",作業系統基本操作、軟體程式設計
機器人軟體工程師,3年以上,大學以上,不拘,不拘
嵌入式系統工程師,不拘,大學以上,不拘,不拘
軟體工程師,2年以上,專科、大學,"SAP、ABAP、SAP IMG、SAP HANA",系統整合分析、軟體品質與保證、軟體程式設計
軟體工程師,3年以上,大學以上,不拘,不拘
資料庫工程師,2年以上,大學以上,"LabVIEW、MySQL、PL/SQL",系統整合分析、軟體工程系統開發、資料庫程式設計
嵌入式系統工程師,1年以上,專科、大學、碩士,"Linux、Android、C++",軟體工程系統開發、軟體程式設計
全端工程師,3年以上,專科以上,"JavaScript、jQuery、VueJS",系統架構規劃、系統整合分析、軟體工程系統開發
嵌入式系統工程師,3年以上,專科、大學、碩士,"C、Java、Spring、MySQL、AWS",系統架構規劃、軟體工程系統開發、軟體程式設計
ERP工程師,2年以上,專科以上,"鼎新",不拘
全端工程師,1年以上,專科以上,"AJAX、ASP.NET、C#、Visual Basic .net、Visual Studio、MS SQL、JavaScript、jQuery",軟體工程系統開發、軟體程式設計
Python工程師,不拘,大學以上,"Python",不拘
嵌入式系統工程師,1年以上,大學以上,"Linux、Android、C、C++",系統架構規劃、系統整合分析、軟體工程系統開發
醫療軟體工程師,不拘,大學、碩士,"MCU",軟體工程系統開發、軟體程式設計、AI
行動應用開發工程師,不拘,大學以上,"Android、C、C++、Java、Kotlin",軟體程式設計、資料庫系統管理維護
後端工程師,3年以上,專科以上,"Android、Git、Java、Spring、J2EE、JavaScript",系統架構規劃、軟體工程系統開發
.NET工程師,1年以上,專科、大學、碩士,"ASP.NET、C#、HTML、JavaScript",不拘
影像軟體工程師,3年以上,大學、碩士,"C#、C++、Java",系統架構規劃、軟體程式設計、資料庫程式設計
嵌入式系統工程師,不拘,大學,"C、Python",軟體程式設計
Node.js工程師,3年以上,專科以上,"Git、Node.js",不拘
軟體工程師,不拘,大學以上,不拘,不拘
嵌入式系統工程師,不拘,碩士,"C、C++",不拘
Linux系統工程師,不拘,大學、碩士,"Linux、Git、C、Python",不拘
嵌入式系統工程師,3年以上,專科以上,"Linux、C",系統架構規劃、軟體工程系統開發
全端工程師,不拘,大學以上,"UML、Git、C++、Go、JavaScript",系統架構規劃、軟體工程系統開發
軟體工程師,1年以上,專科以上,"OOP、Git、Java、HTML、JavaScript",不拘
Java工程師,2年以上,專科以上,"Java、Spring",系統架構規劃、系統整合分析、軟體工程系統開發
軟體工程師,不拘,專科、大學、碩士,不拘,不拘
